ID,City,Restaurant Name,Area Name,Cost for Two,Cuisines,Average Rating,Total Ratings,Is Open,Next Close Time,Aggregated Discount Info,Serviceability,Restaurant Link
6137,Pune,Bliss Bakery & Cafe,Salunkhe Vihar Road,₹350 for two,"Desserts, Bakery",4.1,1K+,True,2023-09-01 22:30:00,,SERVICEABLE,https://www.swiggy.com/restaurants/bliss-bakery-and-cafe-salunke-vihar-road-salunkhe-vihar-road-pune-4676
6138,Pune,Poona Food Truck,Senapati Bapat Road,₹300 for two,"Continental, Fast Food, Italian",4.2,500+,True,2023-09-01 23:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/poona-food-truck-gokhalenagar-senapati-bapat-road-pune-117012
6139,Pune,Magic Mikes Burger Therapy,Salunkhe Vihar Road,₹600 for two,American,4.3,500+,True,2023-09-01 23:30:00,,SERVICEABLE,https://www.swiggy.com/restaurants/magic-mikes-burger-therapy-salunke-vihar-road-salunkhe-vihar-road-pune-276859
6140,Pune,Spice 2 Go,Shivajinagar,₹350 for two,Indian,,,True,2023-09-01 23:00:00,20% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/spice-2-go-janwadi-shivajinagar-pune-539633
6141,Pune,Go Rigo Go,Salunkhe Vihar Road,₹300 for two,"Pizzas, Beverages, Pastas, Cafe",4.2,500+,True,2023-09-01 23:59:00,30% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/go-rigo-go-salunke-vihar-road-salunkhe-vihar-road-pune-378551
6142,Pune,Uncle Kitchen,Camp,₹250 for two,"North Indian, Chinese",4,500+,True,2023-09-01 23:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/uncle-kitchen-nucleus-mall-camp-pune-44174
6143,Pune,Hotel Zam Zam,Camp,₹300 for two,"North Indian, Chinese",3.3,100+,True,2023-09-02 01:31:00,50% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/hotel-zam-zam-bhawani-peth-camp-pune-375326
6144,Pune,Jyoti Restaurant,Kondhwa,₹300 for two,"North Indian, South Indian, Beverages, Ice Cream, Chinese, Snacks",4.4,5K+,True,2023-09-01 23:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/jyoti-restaurant-nibm-road-kondhwa-pune-399576
6145,Pune,Chinese Karkhana,Kothrud,₹200 for two,"Chinese, Tibetan, Healthy Food, Pan-Asian",4.1,500+,True,2023-09-01 23:30:00,₹100 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/chinese-karkhana-gujarat-colony-kothrud-pune-493612
6146,Pune,RocoMamas,Kalyani Nagar,₹1000 for two,American,4.2,500+,True,2023-09-01 23:00:00,₹125 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/rocomamas-kalyani-nagar-pune-377315
6147,Pune,Malabar,Karve Nagar,₹400 for two,"North Indian, Chinese",3.9,10K+,True,2023-09-01 23:59:00,60% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/malabar-hingne-budrukh-karve-nagar-pune-42784
6148,Pune,Mad Over Bowls (MOB),Kothrud,₹200 for two,"Chinese, Tibetan",4.1,1K+,True,2023-09-01 23:30:00,₹100 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/mad-over-bowls-mob-gujarat-colony-kothrud-pune-495448
6149,Pune,Zen Cafe,Koregaon Park,₹800 for two,European,4.4,100+,True,2023-09-01 22:30:00,,SERVICEABLE,https://www.swiggy.com/restaurants/zen-cafe-koregaon-park-pune-134883
6150,Pune,Bread Story,Kalyani Nagar,₹350 for two,Bakery,4.5,1K+,True,2023-09-01 21:45:00,,SERVICEABLE,https://www.swiggy.com/restaurants/bread-story-east-avenue-kalyani-nagar-pune-27552
6151,Pune,Bliss Bakery & Cafe,Salunkhe Vihar Road,₹350 for two,"Desserts, Bakery",4.1,1K+,True,2023-09-01 22:30:00,,SERVICEABLE,https://www.swiggy.com/restaurants/bliss-bakery-and-cafe-salunke-vihar-road-salunkhe-vihar-road-pune-4676
6152,Pune,Poona Food Truck,Senapati Bapat Road,₹300 for two,"Continental, Fast Food, Italian",4.2,500+,True,2023-09-01 23:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/poona-food-truck-gokhalenagar-senapati-bapat-road-pune-117012
6153,Pune,Magic Mikes Burger Therapy,Salunkhe Vihar Road,₹600 for two,American,4.3,500+,True,2023-09-01 23:30:00,,SERVICEABLE,https://www.swiggy.com/restaurants/magic-mikes-burger-therapy-salunke-vihar-road-salunkhe-vihar-road-pune-276859
6154,Pune,Spice 2 Go,Shivajinagar,₹350 for two,Indian,,,True,2023-09-01 23:00:00,20% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/spice-2-go-janwadi-shivajinagar-pune-539633
6155,Pune,Go Rigo Go,Salunkhe Vihar Road,₹300 for two,"Pizzas, Beverages, Pastas, Cafe",4.2,500+,True,2023-09-01 23:59:00,₹100 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/go-rigo-go-salunke-vihar-road-salunkhe-vihar-road-pune-378551
6156,Pune,Uncle Kitchen,Camp,₹250 for two,"North Indian, Chinese",4,500+,True,2023-09-01 23:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/uncle-kitchen-nucleus-mall-camp-pune-44174
6157,Pune,Hotel Zam Zam,Camp,₹300 for two,"North Indian, Chinese",3.3,100+,True,2023-09-02 01:31:00,50% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/hotel-zam-zam-bhawani-peth-camp-pune-375326
6158,Pune,Jyoti Restaurant,Kondhwa,₹300 for two,"North Indian, South Indian, Beverages, Ice Cream, Chinese, Snacks",4.4,5K+,True,2023-09-01 23:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/jyoti-restaurant-nibm-road-kondhwa-pune-399576
